Follower Athlete ID,Follow Status,Created At
40221612,Accepted,"Jun 26, 2019, 2:50:19 PM"
31026404,Accepted,"Jul 2, 2019, 2:08:02 PM"
208431,Accepted,"Jul 5, 2019, 8:39:34 PM"
38784151,Accepted,"Jul 6, 2019, 6:33:26 PM"
9743371,Accepted,"Jul 6, 2019, 6:35:00 PM"
25687147,Accepted,"Jul 6, 2019, 6:36:12 PM"
44320339,Accepted,"Aug 28, 2019, 3:34:23 AM"
49130953,Accepted,"Dec 23, 2019, 9:08:48 AM"
12242608,Accepted,"Dec 23, 2019, 9:08:52 AM"
49248409,Accepted,"Dec 26, 2019, 8:42:22 PM"
54132119,Accepted,"May 2, 2020, 1:56:32 AM"
52421958,Accepted,"May 16, 2020, 2:29:42 PM"
63092657,Accepted,"Jul 5, 2020, 2:59:14 PM"
50313850,Accepted,"Jul 30, 2020, 3:04:03 AM"
51219301,Accepted,"Aug 5, 2020, 3:07:28 AM"
70788504,Accepted,"Oct 24, 2020, 2:39:14 PM"
71047174,Accepted,"Dec 23, 2020, 6:34:07 PM"
70225429,Accepted,"Mar 21, 2021, 7:09:03 PM"
84642315,Accepted,"May 2, 2021, 6:12:26 PM"
19726580,Accepted,"Sep 14, 2021, 3:24:48 PM"
34519999,Accepted,"Apr 30, 2022, 6:36:25 PM"
88025369,Accepted,"Oct 24, 2022, 3:15:47 PM"
108639575,Accepted,"Jan 28, 2023, 1:57:15 AM"
67158732,Accepted,"Mar 3, 2023, 11:57:03 PM"
6030534,Accepted,"Jun 2, 2023, 9:47:11 PM"
9935263,Accepted,"Jun 7, 2023, 4:01:41 PM"
488951,Accepted,"Jul 18, 2023, 1:51:20 PM"
525912,Accepted,"Jul 19, 2023, 1:43:20 AM"
32410791,Accepted,"Jul 30, 2023, 7:53:21 PM"
48546669,Accepted,"Aug 3, 2023, 4:03:47 AM"
49525169,Accepted,"Aug 4, 2023, 2:19:38 PM"
63627724,Accepted,"Aug 6, 2023, 6:18:56 PM"
119349154,Accepted,"Aug 9, 2023, 4:19:48 AM"
76889818,Accepted,"Aug 24, 2023, 4:03:09 PM"
54079375,Accepted,"Aug 31, 2023, 1:35:55 AM"
12631820,Accepted,"Sep 8, 2023, 2:08:24 PM"
25426229,Accepted,"Sep 10, 2023, 1:47:41 AM"
19159212,Accepted,"Sep 10, 2023, 1:39:59 PM"
29738,Accepted,"Oct 12, 2023, 11:16:08 AM"
112382140,Accepted,"Oct 16, 2023, 3:29:20 PM"
11983384,Accepted,"Oct 31, 2023, 2:10:49 AM"
9643586,Accepted,"Nov 4, 2023, 10:21:27 PM"
45890982,Accepted,"Nov 8, 2023, 7:09:40 PM"
8376706,Accepted,"Dec 4, 2023, 6:30:21 PM"
69283199,Accepted,"Dec 4, 2023, 7:28:27 PM"
29571937,Accepted,"Jan 14, 2024, 1:01:28 PM"
48294338,Accepted,"Jan 17, 2024, 6:47:03 PM"
22090385,Accepted,"Jan 18, 2024, 1:29:15 PM"
95936380,Accepted,"Jan 20, 2024, 9:28:07 PM"
1921162,Accepted,"Feb 7, 2024, 2:37:20 PM"
1753509,Accepted,"Feb 15, 2024, 3:58:55 PM"
6300,Accepted,"Feb 16, 2024, 4:59:43 PM"
7141206,Accepted,"Mar 15, 2024, 9:02:07 PM"
49282080,Accepted,"Mar 25, 2024, 1:56:35 AM"
109128606,Accepted,"Apr 10, 2024, 7:25:33 PM"
2407468,Accepted,"Apr 30, 2024, 1:26:59 AM"
100317699,Pending,"May 15, 2024, 7:47:17 PM"
354460,Accepted,"May 16, 2024, 1:52:24 AM"
132936364,Accepted,"May 22, 2024, 3:10:06 PM"
