Comment Date,Comment
"Apr 4, 2019, 2:06:59 AM",I’m a wino now 
"Apr 25, 2019, 3:30:31 AM",share the road
"May 6, 2019, 11:41:25 AM",Cool red bike!!
"Jun 19, 2019, 1:21:09 PM",nice
"Jul 4, 2019, 3:48:17 PM",I try lol 
"Dec 12, 2019, 1:49:38 PM",about time you tried making some gainz
"Mar 9, 2020, 12:44:45 PM",finally making some #gainz
"Mar 25, 2020, 3:04:13 PM",were you drunk on this walk? lol
"Mar 27, 2020, 1:11:10 PM",thank you G
"Apr 5, 2020, 11:05:33 PM",I was on my Segway 
"May 2, 2020, 4:07:51 PM",🔥
"May 11, 2020, 1:20:05 AM",Lol that one is indeed lazy mountain 
"May 21, 2020, 9:09:07 PM",defense Zoom link? I have so many questions
"Jul 29, 2020, 12:34:37 AM",Welcome to the club Ford AJ Berning Laurence Eo Viet M Katherine Glasheen 
"Jul 29, 2020, 12:45:14 AM",Work hard and you’ll be promoted to [sophmoh]
"Jul 30, 2020, 2:14:58 PM",Good job G
"Aug 2, 2020, 11:09:43 PM",K & C sound super cool
"Sep 19, 2020, 11:51:45 PM",Wowzer!!
"Sep 23, 2020, 4:05:23 PM","Add a photo of Tigs on leash, we all want to see"
"Oct 4, 2020, 1:18:22 AM",Ohhhhh G
"Oct 22, 2020, 9:09:10 PM",Run the relay on Saturday with us!
"Nov 11, 2020, 2:45:30 AM",Turkey trot 5k before gorging ourselves??
"Nov 22, 2020, 7:41:55 PM",Running away already? 
"Dec 25, 2020, 11:37:07 PM",Merry Christmas!! 
"Jan 6, 2021, 3:12:00 AM",STOP THE RUN!
"Jan 9, 2021, 3:07:51 PM",Why didn’t you go down Dew Drive?!
"Feb 10, 2021, 2:43:45 AM",Nowhere near the end of my list
"Feb 19, 2021, 12:30:42 AM",next time my bois
"Feb 26, 2021, 3:13:43 AM",you mind if I beef this stew
"Mar 31, 2021, 8:37:11 PM",Thanks Señor Tigs
"May 6, 2021, 1:44:04 AM","A local Independence Day themed one. But it’s on June 26 lol. 4 miles for me, 4K for KG!"
"May 21, 2021, 1:12:42 AM",heck yeah!
"May 22, 2021, 11:15:06 PM",Got a whole week with Helo so stay tuned for more cat stuff 
