Following Athlete ID,Follow Status,Created At
208431,Accepted,"Mar 19, 2019, 3:47:40 AM"
31026404,Accepted,"Mar 19, 2019, 3:47:48 AM"
9743371,Accepted,"Mar 19, 2019, 3:47:56 AM"
25687147,Accepted,"Mar 19, 2019, 3:48:07 AM"
30181779,Accepted,"Apr 5, 2019, 1:13:38 AM"
43661781,Accepted,"Jun 26, 2019, 2:50:19 PM"
38784151,Accepted,"Jul 6, 2019, 6:54:34 PM"
44320339,Accepted,"Jul 20, 2019, 2:42:27 PM"
46258910,Accepted,"Sep 12, 2019, 1:21:35 PM"
12242608,Accepted,"Dec 23, 2019, 9:09:45 AM"
49130953,Accepted,"Dec 23, 2019, 11:15:20 AM"
49248409,Accepted,"Jan 23, 2020, 4:21:00 PM"
54132119,Accepted,"Apr 13, 2020, 10:46:39 PM"
51219301,Accepted,"Apr 17, 2020, 2:13:03 AM"
63092657,Accepted,"Jul 6, 2020, 1:32:30 AM"
50313850,Accepted,"Sep 4, 2020, 3:26:22 AM"
70788504,Accepted,"Oct 22, 2020, 10:43:33 PM"
70225429,Accepted,"Nov 3, 2020, 8:38:22 PM"
84642315,Accepted,"May 3, 2021, 7:02:20 PM"
19726580,Accepted,"Jul 26, 2021, 1:39:18 PM"
16299341,Accepted,"Oct 19, 2021, 11:50:01 AM"
95980744,Accepted,"Jan 14, 2022, 1:47:56 AM"
19595587,Accepted,"Mar 19, 2022, 5:17:52 PM"
76889818,Accepted,"Jul 5, 2022, 1:48:19 PM"
88025369,Accepted,"Oct 24, 2022, 3:16:21 PM"
108639575,Accepted,"Jan 28, 2023, 1:36:57 AM"
67158732,Accepted,"Mar 4, 2023, 12:09:06 AM"
2019923,Accepted,"Mar 4, 2023, 3:34:28 AM"
6030534,Accepted,"May 26, 2023, 4:36:31 PM"
9935263,Accepted,"Jun 7, 2023, 4:04:25 PM"
34450849,Accepted,"Jun 16, 2023, 9:00:36 PM"
525912,Accepted,"Jul 12, 2023, 6:39:41 PM"
32410791,Accepted,"Jul 12, 2023, 6:39:43 PM"
488951,Accepted,"Jul 12, 2023, 10:28:23 PM"
49525169,Accepted,"Jul 25, 2023, 2:57:44 PM"
29738,Accepted,"Jul 25, 2023, 9:06:21 PM"
48546669,Accepted,"Jul 25, 2023, 9:06:55 PM"
54079375,Accepted,"Aug 3, 2023, 3:13:45 AM"
25426229,Accepted,"Aug 3, 2023, 3:53:02 AM"
119349154,Accepted,"Aug 5, 2023, 9:46:34 PM"
19138758,Accepted,"Aug 6, 2023, 6:08:24 PM"
106334,Accepted,"Aug 8, 2023, 5:29:10 PM"
